  Configurations: 840
  sell_pressure: 0.50 – 1.00 (step 0.10)
  base_spread: 0.10 – 0.30 (step 0.05)
  max_change: 0.50 – 2.00 (step 0.25)
  trend_dampening: 0.000 – 0.150 (step 0.050)
  Duration: 2016 ticks (7 days)
sell_pressure_multiplier,base_spread,max_price_change_percent,trend_dampening,avg_price_displacement_pct,avg_volatility,avg_final_bpd_pct,avg_final_spd_pct,final_gdp,final_debt,debt_gdp_ratio,total_tx,buy_ratio,stable,active_loans,defaulted_loans
0.50,0.20,1.75,0.050,-52.02,0.0125,4.601,4.938,8378.52,162817.68,19.433,1098,0.498,1,8,0
0.50,0.20,1.75,0.100,-54.64,0.0119,3.945,4.312,21925.73,106844.30,4.873,1082,0.395,1,8,0
0.50,0.20,1.75,0.150,-56.77,0.0080,3.612,3.873,7581.21,91220.59,12.032,1192,0.435,1,8,0
0.50,0.20,2.00,0.000,-55.30,0.0262,2.994,3.453,5352.54,54610.56,10.203,761,0.493,1,8,0
0.50,0.20,2.00,0.050,-58.70,0.0178,3.401,3.736,11510.98,106548.33,9.256,862,0.560,1,9,0
0.50,0.20,2.00,0.100,-54.98,0.0117,3.911,4.328,194.66,128565.18,660.469,1542,0.451,1,8,0
0.50,0.20,2.00,0.150,-40.98,0.0049,4.437,4.653,23568.85,156094.96,6.623,1601,0.453,1,8,0
0.50,0.25,0.50,0.000,-44.74,0.0055,5.581,6.753,11938.45,173655.40,14.546,1119,0.318,1,8,0
0.50,0.25,0.50,0.050,-40.92,0.0050,5.880,7.037,21993.23,104422.65,4.748,1111,0.330,1,8,0
0.50,0.25,0.50,0.100,-37.46,0.0073,7.654,9.116,16914.33,201522.63,11.914,1975,0.322,1,8,0
0.50,0.25,0.50,0.150,-38.84,0.0071,5.805,7.207,10661.29,127365.80,11.947,1090,0.323,1,8,0
0.50,0.25,0.75,0.000,-46.33,0.0023,5.291,6.047,12915.92,129144.49,9.999,1135,0.330,1,8,0
0.50,0.25,0.75,0.050,-39.20,0.0063,4.914,5.535,53854.94,245075.41,4.551,2478,0.356,1,7,0
0.50,0.25,0.75,0.100,-46.08,0.0076,8.433,10.305,23495.69,89620.45,3.814,921,0.300,1,8,0
0.50,0.25,0.75,0.150,-43.64,0.0054,4.792,5.646,6554.53,77273.74,11.789,1125,0.331,1,7,0
0.50,0.25,1.00,0.000,-53.32,0.0107,6.954,7.991,4865.94,72877.71,14.977,1029,0.387,1,8,0
0.50,0.25,1.00,0.050,-41.91,0.0039,4.259,4.697,79164.70,177055.88,2.237,1325,0.401,1,9,0
0.50,0.25,1.00,0.100,-50.54,0.0139,3.633,4.382,4780.44,68591.66,14.348,1193,0.412,1,8,0
0.50,0.25,1.00,0.150,-49.87,0.0106,6.119,7.206,983.21,27988.41,28.466,669,0.344,1,7,0
